vehicle_id,week_start_date,ft_torque_util_60pct_s,ft_torque_util_70pct_s,ft_torque_util_80pct_s,ft_torque_util_90pct_s,ft_horsepower_util_50pct_s,ft_horsepower_util_60pct_s,ft_horsepower_util_70pct_s,ft_horsepower_util_80pct_s,ft_rpm_util_50pct_s,ft_rpm_util_60pct_s
1000512,2017-01-02,17,13692,13795,24,0,0,0,0,0,0
1000512,2017-01-09,144,127561,126532,356,0,0,0,0,0,0
1000512,2017-01-16,2,9311,16020,161,0,0,0,0,0,0
1000512,2017-01-23,55,43070,32354,58,0,0,0,0,0,0
1000512,2017-01-30,27,12429,47634,140,0,0,0,0,0,0
1000512,2017-02-06,0,5395,17967,66,0,0,0,0,0,0
1000512,2017-02-13,0,2811,7595,5,0,0,0,0,0,0
1000512,2017-02-20,6,27812,31678,60,0,0,0,0,0,0
1000512,2017-02-27,42,13455,459,0,0,0,0,0,0,0
1000513,2017-01-02,76,33964,19983,57,0,0,0,0,0,0
1000513,2017-01-09,228,81034,105409,412,0,0,0,0,0,0
1000513,2017-01-16,66,14030,167,0,0,0,0,0,0,0
1000513,2017-01-23,46,24989,19918,128,0,0,0,0,0,0
1000513,2017-01-30,7,23110,14933,5,0,0,0,0,0,0
1000513,2017-02-06,0,992,36615,136,0,0,0,0,0,0
1000513,2017-02-13,0,9433,5056,0,0,0,0,0,0,0
1000513,2017-02-20,5,18554,9341,0,0,0,0,0,0,0
1000513,2017-02-27,4,8142,15691,63,0,0,0,0,0,0
1000513,2017-03-06,53,14035,7681,0,0,0,0,0,0,0
1000514,2017-01-02,109,25702,22275,37,0,0,0,0,0,0
1000514,2017-01-09,78,63178,65982,181,0,0,0,0,0,0
1000514,2017-01-16,0,1099,5461,12,0,0,0,0,0,0
1000514,2017-01-23,61,35077,31173,116,0,0,0,0,0,0
1000514,2017-01-30,6,14098,41272,111,0,0,0,0,0,0
1000514,2017-02-06,0,9936,6322,0,0,0,0,0,0,0
1000514,2017-02-13,1,18588,13012,74,0,0,0,0,0,0
1000514,2017-02-20,38,27514,20351,140,0,0,0,0,0,0
1000514,2017-02-27,36,9040,10912,0,0,0,0,0,0,0
1000514,2017-03-06,30,5659,27,0,0,0,0,0,0,0
1000515,2017-01-02,3,11639,11850,158,0,0,0,0,0,0
1000515,2017-01-09,215,98234,103181,290,0,0,0,0,0,0
1000515,2017-01-16,3,11751,14474,52,0,0,0,0,0,0
1000515,2017-01-23,258,56306,31466,101,0,0,0,0,0,0
1000515,2017-01-30,10,15821,8292,43,0,0,0,0,0,0
1000515,2017-02-06,0,928,4999,0,0,0,0,0,0,0
1000515,2017-02-13,0,8205,6503,0,0,0,0,0,0,0
1000515,2017-02-20,15,25086,18959,72,0,0,0,0,0,0
1000515,2017-02-27,0,14140,28288,30,0,0,0,0,0,0
1000515,2017-03-06,0,7,2002,30,0,0,0,0,0,0
1000516,2017-01-02,5,29673,16955,19,0,0,0,0,0,0
1000516,2017-01-09,51,69708,74208,221,0,0,0,0,0,0
1000516,2017-01-16,0,15312,20038,59,0,0,0,0,0,0
1000516,2017-01-23,24,21326,23578,3,0,0,0,0,0,0
1000516,2017-01-30,0,14997,19826,35,0,0,0,0,0,0
1000516,2017-02-06,1,13137,6446,3,0,0,0,0,0,0
1000516,2017-02-13,104,16256,8504,21,0,0,0,0,0,0
1000516,2017-02-20,45,32979,50947,342,0,0,0,0,0,0
1000517,2017-01-02,4,12820,28427,101,0,0,0,0,0,0
1000517,2017-01-09,118,91735,80314,207,0,0,0,0,0,0
1000517,2017-01-16,1,16167,4629,0,0,0,0,0,0,0
1000517,2017-01-23,35,34966,15415,0,0,0,0,0,0,0
1000517,2017-01-30,18,22658,20312,194,0,0,0,0,0,0
1000517,2017-02-06,0,4311,6745,1,0,0,0,0,0,0
1000517,2017-02-13,2,5814,3563,0,0,0,0,0,0,0
1000517,2017-02-20,10,32966,15001,20,0,0,0,0,0,0
1000517,2017-02-27,0,503,210,0,0,0,0,0,0,0
1000517,2017-03-06,0,10318,10522,1,0,0,0,0,0,0
1000518,2017-01-02,3,16790,34153,27,0,0,0,0,0,0
1000518,2017-01-09,140,82866,94585,217,0,0,0,0,0,0
1000518,2017-01-16,10,11149,2250,0,0,0,0,0,0,0
1000518,2017-01-23,51,41325,39158,104,0,0,0,0,0,0
1000518,2017-01-30,0,7188,54475,164,0,0,0,0,0,0
1000518,2017-02-06,7,6712,160,0,0,0,0,0,0,0
1000518,2017-02-13,11,10855,12011,0,0,0,0,0,0,0
1000518,2017-02-20,1,27053,36799,12,0,0,0,0,0,0
1000518,2017-02-27,2,9280,7205,9,0,0,0,0,0,0
1000518,2017-03-06,3,7746,686,0,0,0,0,0,0,0
1000519,2017-01-02,7,22556,14597,114,0,0,0,0,0,0
1000519,2017-01-09,91,63651,80304,357,0,0,0,0,0,0
1000519,2017-01-16,5,2573,12873,68,0,0,0,0,0,0
1000519,2017-01-23,6,22686,24786,25,0,0,0,0,0,0
1000519,2017-01-30,45,10517,13641,2,0,0,0,0,0,0
1000519,2017-02-06,0,1776,16296,3,0,0,0,0,0,0
1000519,2017-02-13,0,3656,25339,139,0,0,0,0,0,0
1000519,2017-02-20,134,28638,44504,160,0,0,0,0,0,0
